,X,Director,Category,Cast1,Cast2,Cast3,Duration,Rating
8399,17,Chris Evans,Comedy | Drama | Romance,Chris Evans,Alice Eve,Emma Fitzpatrick,95 mins.,7
8400,25,Jorge R. Gutiérrez,Animation | Adventure | Comedy | Family | Fantasy | Romance,Diego Luna,Zoe Saldana,Channing Tatum,95 mins.,7.3
8401,30,Theodore Melfi,Comedy | Drama,Bill Murray,Melissa McCarthy,Naomi Watts,102 mins.,7.3
8402,31,Morgan Matthews,Drama,Asa Butterfield,Rafe Spall,Sally Hawkins,111 mins.,7.2
8403,42,Michael Cuesta,Biography | Crime | Drama | Mystery | Thriller,Jeremy Renner,Robert Patrick,Jena Sims,112 mins.,7
8404,43,Tim Burton,Biography | Crime | Drama | Romance,Amy Adams,Christoph Waltz,Danny Huston,106 mins.,7
8405,44,Dean DeBlois,Animation | Action | Adventure | Comedy | Family | Fantasy,Jay Baruchel,Cate Blanchett,Gerard Butler,102 mins.,7.9
8406,46,Jaume Collet-Serra,Action | Mystery | Thriller,Liam Neeson,Julianne Moore,Scoot McNairy,106 mins.,7
8407,49,Paul King,Comedy | Family,Hugh Bonneville,Sally Hawkins,Julie Walters,95 mins.,7.2
8408,2,Michael Spierig,Drama | Mystery | Sci-Fi | Thriller,Peter Spierig,Ethan Hawke,Sarah Snook,97 mins.,7.4
8409,10,Ava DuVernay,Biography | Drama | History,David Oyelowo,Carmen Ejogo,Tim Roth,128 mins.,7.5
8410,11,Matt Reeves,Action | Drama | Sci-Fi | Thriller,Gary Oldman,Keri Russell,Andy Serkis,130 mins.,7.6
8411,12,James Kent,Biography | Drama | History | War,Alicia Vikander,Kit Harington,Taron Egerton,129 mins.,7.3
8412,14,Richard Glatzer,Drama,Wash Westmoreland,Julianne Moore,Alec Baldwin,101 mins.,7.5
8413,16,Chris Evans,Comedy | Drama | Romance,Chris Evans,Alice Eve,Emma Fitzpatrick,95 mins.,7
8414,24,Jorge R. Gutiérrez,Animation | Adventure | Comedy | Family | Fantasy | Romance,Diego Luna,Zoe Saldana,Channing Tatum,95 mins.,7.3
8415,29,Theodore Melfi,Comedy | Drama,Bill Murray,Melissa McCarthy,Naomi Watts,102 mins.,7.3
8416,30,Morgan Matthews,Drama,Asa Butterfield,Rafe Spall,Sally Hawkins,111 mins.,7.2
8417,41,Michael Cuesta,Biography | Crime | Drama | Mystery | Thriller,Jeremy Renner,Robert Patrick,Jena Sims,112 mins.,7
8418,42,Tim Burton,Biography | Crime | Drama | Romance,Amy Adams,Christoph Waltz,Danny Huston,106 mins.,7
8419,43,Dean DeBlois,Animation | Action | Adventure | Comedy | Family | Fantasy,Jay Baruchel,Cate Blanchett,Gerard Butler,102 mins.,7.9
8420,45,Jaume Collet-Serra,Action | Mystery | Thriller,Liam Neeson,Julianne Moore,Scoot McNairy,106 mins.,7
8421,48,Paul King,Comedy | Family,Hugh Bonneville,Sally Hawkins,Julie Walters,95 mins.,7.2
8422,1,Michael Spierig,Drama | Mystery | Sci-Fi | Thriller,Peter Spierig,Ethan Hawke,Sarah Snook,97 mins.,7.4
8423,9,Ava DuVernay,Biography | Drama | History,David Oyelowo,Carmen Ejogo,Tim Roth,128 mins.,7.5
8424,10,Matt Reeves,Action | Drama | Sci-Fi | Thriller,Gary Oldman,Keri Russell,Andy Serkis,130 mins.,7.6
8425,11,James Kent,Biography | Drama | History | War,Alicia Vikander,Kit Harington,Taron Egerton,129 mins.,7.3
8426,13,Richard Glatzer,Drama,Wash Westmoreland,Julianne Moore,Alec Baldwin,101 mins.,7.5
8427,15,Chris Evans,Comedy | Drama | Romance,Chris Evans,Alice Eve,Emma Fitzpatrick,95 mins.,7
8428,23,Jorge R. Gutiérrez,Animation | Adventure | Comedy | Family | Fantasy | Romance,Diego Luna,Zoe Saldana,Channing Tatum,95 mins.,7.3
8429,28,Theodore Melfi,Comedy | Drama,Bill Murray,Melissa McCarthy,Naomi Watts,102 mins.,7.3
8430,29,Morgan Matthews,Drama,Asa Butterfield,Rafe Spall,Sally Hawkins,111 mins.,7.2
8431,40,Michael Cuesta,Biography | Crime | Drama | Mystery | Thriller,Jeremy Renner,Robert Patrick,Jena Sims,112 mins.,7
8432,41,Tim Burton,Biography | Crime | Drama | Romance,Amy Adams,Christoph Waltz,Danny Huston,106 mins.,7
8433,42,Dean DeBlois,Animation | Action | Adventure | Comedy | Family | Fantasy,Jay Baruchel,Cate Blanchett,Gerard Butler,102 mins.,7.9
8434,44,Jaume Collet-Serra,Action | Mystery | Thriller,Liam Neeson,Julianne Moore,Scoot McNairy,106 mins.,7
8435,47,Paul King,Comedy | Family,Hugh Bonneville,Sally Hawkins,Julie Walters,95 mins.,7.2
8436,50,Ramin Bahrani,Drama,Andrew Garfield,Michael Shannon,Laura Dern,112 mins.,7.2
8437,8,Ava DuVernay,Biography | Drama | History,David Oyelowo,Carmen Ejogo,Tim Roth,128 mins.,7.5
8438,9,Matt Reeves,Action | Drama | Sci-Fi | Thriller,Gary Oldman,Keri Russell,Andy Serkis,130 mins.,7.6
8439,10,James Kent,Biography | Drama | History | War,Alicia Vikander,Kit Harington,Taron Egerton,129 mins.,7.3
8440,12,Richard Glatzer,Drama,Wash Westmoreland,Julianne Moore,Alec Baldwin,101 mins.,7.5
8441,14,Chris Evans,Comedy | Drama | Romance,Chris Evans,Alice Eve,Emma Fitzpatrick,95 mins.,7
8442,22,Jorge R. Gutiérrez,Animation | Adventure | Comedy | Family | Fantasy | Romance,Diego Luna,Zoe Saldana,Channing Tatum,95 mins.,7.3
8443,27,Theodore Melfi,Comedy | Drama,Bill Murray,Melissa McCarthy,Naomi Watts,102 mins.,7.3
8444,28,Morgan Matthews,Drama,Asa Butterfield,Rafe Spall,Sally Hawkins,111 mins.,7.2
8445,39,Michael Cuesta,Biography | Crime | Drama | Mystery | Thriller,Jeremy Renner,Robert Patrick,Jena Sims,112 mins.,7
8446,40,Tim Burton,Biography | Crime | Drama | Romance,Amy Adams,Christoph Waltz,Danny Huston,106 mins.,7
8447,41,Dean DeBlois,Animation | Action | Adventure | Comedy | Family | Fantasy,Jay Baruchel,Cate Blanchett,Gerard Butler,102 mins.,7.9
8448,43,Jaume Collet-Serra,Action | Mystery | Thriller,Liam Neeson,Julianne Moore,Scoot McNairy,106 mins.,7
8449,46,Paul King,Comedy | Family,Hugh Bonneville,Sally Hawkins,Julie Walters,95 mins.,7.2
8450,49,Ramin Bahrani,Drama,Andrew Garfield,Michael Shannon,Laura Dern,112 mins.,7.2
8451,7,Ava DuVernay,Biography | Drama | History,David Oyelowo,Carmen Ejogo,Tim Roth,128 mins.,7.5
8452,8,Matt Reeves,Action | Drama | Sci-Fi | Thriller,Gary Oldman,Keri Russell,Andy Serkis,130 mins.,7.6
8453,9,James Kent,Biography | Drama | History | War,Alicia Vikander,Kit Harington,Taron Egerton,129 mins.,7.3
8454,11,Richard Glatzer,Drama,Wash Westmoreland,Julianne Moore,Alec Baldwin,101 mins.,7.5
8455,13,Chris Evans,Comedy | Drama | Romance,Chris Evans,Alice Eve,Emma Fitzpatrick,95 mins.,7
8456,21,Jorge R. Gutiérrez,Animation | Adventure | Comedy | Family | Fantasy | Romance,Diego Luna,Zoe Saldana,Channing Tatum,95 mins.,7.3
8457,26,Theodore Melfi,Comedy | Drama,Bill Murray,Melissa McCarthy,Naomi Watts,102 mins.,7.3
8458,27,Morgan Matthews,Drama,Asa Butterfield,Rafe Spall,Sally Hawkins,111 mins.,7.2
8459,38,Michael Cuesta,Biography | Crime | Drama | Mystery | Thriller,Jeremy Renner,Robert Patrick,Jena Sims,112 mins.,7
8460,39,Tim Burton,Biography | Crime | Drama | Romance,Amy Adams,Christoph Waltz,Danny Huston,106 mins.,7
8461,40,Dean DeBlois,Animation | Action | Adventure | Comedy | Family | Fantasy,Jay Baruchel,Cate Blanchett,Gerard Butler,102 mins.,7.9
8462,42,Jaume Collet-Serra,Action | Mystery | Thriller,Liam Neeson,Julianne Moore,Scoot McNairy,106 mins.,7
8463,45,Paul King,Comedy | Family,Hugh Bonneville,Sally Hawkins,Julie Walters,95 mins.,7.2
8464,48,Ramin Bahrani,Drama,Andrew Garfield,Michael Shannon,Laura Dern,112 mins.,7.2
8465,6,Ava DuVernay,Biography | Drama | History,David Oyelowo,Carmen Ejogo,Tim Roth,128 mins.,7.5
8466,7,Matt Reeves,Action | Drama | Sci-Fi | Thriller,Gary Oldman,Keri Russell,Andy Serkis,130 mins.,7.6
8467,8,James Kent,Biography | Drama | History | War,Alicia Vikander,Kit Harington,Taron Egerton,129 mins.,7.3
8468,10,Richard Glatzer,Drama,Wash Westmoreland,Julianne Moore,Alec Baldwin,101 mins.,7.5
8469,12,Chris Evans,Comedy | Drama | Romance,Chris Evans,Alice Eve,Emma Fitzpatrick,95 mins.,7
8470,20,Jorge R. Gutiérrez,Animation | Adventure | Comedy | Family | Fantasy | Romance,Diego Luna,Zoe Saldana,Channing Tatum,95 mins.,7.3
8471,25,Theodore Melfi,Comedy | Drama,Bill Murray,Melissa McCarthy,Naomi Watts,102 mins.,7.3
8472,26,Morgan Matthews,Drama,Asa Butterfield,Rafe Spall,Sally Hawkins,111 mins.,7.2
8473,37,Michael Cuesta,Biography | Crime | Drama | Mystery | Thriller,Jeremy Renner,Robert Patrick,Jena Sims,112 mins.,7
8474,38,Tim Burton,Biography | Crime | Drama | Romance,Amy Adams,Christoph Waltz,Danny Huston,106 mins.,7
8475,39,Dean DeBlois,Animation | Action | Adventure | Comedy | Family | Fantasy,Jay Baruchel,Cate Blanchett,Gerard Butler,102 mins.,7.9
8476,41,Jaume Collet-Serra,Action | Mystery | Thriller,Liam Neeson,Julianne Moore,Scoot McNairy,106 mins.,7
8477,44,Paul King,Comedy | Family,Hugh Bonneville,Sally Hawkins,Julie Walters,95 mins.,7.2
8478,47,Ramin Bahrani,Drama,Andrew Garfield,Michael Shannon,Laura Dern,112 mins.,7.2
8479,5,Ava DuVernay,Biography | Drama | History,David Oyelowo,Carmen Ejogo,Tim Roth,128 mins.,7.5
8480,6,Matt Reeves,Action | Drama | Sci-Fi | Thriller,Gary Oldman,Keri Russell,Andy Serkis,130 mins.,7.6
8481,7,James Kent,Biography | Drama | History | War,Alicia Vikander,Kit Harington,Taron Egerton,129 mins.,7.3
8482,9,Richard Glatzer,Drama,Wash Westmoreland,Julianne Moore,Alec Baldwin,101 mins.,7.5
8483,11,Chris Evans,Comedy | Drama | Romance,Chris Evans,Alice Eve,Emma Fitzpatrick,95 mins.,7
8484,19,Jorge R. Gutiérrez,Animation | Adventure | Comedy | Family | Fantasy | Romance,Diego Luna,Zoe Saldana,Channing Tatum,95 mins.,7.3
8485,24,Theodore Melfi,Comedy | Drama,Bill Murray,Melissa McCarthy,Naomi Watts,102 mins.,7.3
8486,25,Morgan Matthews,Drama,Asa Butterfield,Rafe Spall,Sally Hawkins,111 mins.,7.2
8487,36,Michael Cuesta,Biography | Crime | Drama | Mystery | Thriller,Jeremy Renner,Robert Patrick,Jena Sims,112 mins.,7
8488,37,Tim Burton,Biography | Crime | Drama | Romance,Amy Adams,Christoph Waltz,Danny Huston,106 mins.,7
8489,38,Dean DeBlois,Animation | Action | Adventure | Comedy | Family | Fantasy,Jay Baruchel,Cate Blanchett,Gerard Butler,102 mins.,7.9
8490,40,Jaume Collet-Serra,Action | Mystery | Thriller,Liam Neeson,Julianne Moore,Scoot McNairy,106 mins.,7
8491,43,Paul King,Comedy | Family,Hugh Bonneville,Sally Hawkins,Julie Walters,95 mins.,7.2
8492,46,Ramin Bahrani,Drama,Andrew Garfield,Michael Shannon,Laura Dern,112 mins.,7.2
8493,4,Ava DuVernay,Biography | Drama | History,David Oyelowo,Carmen Ejogo,Tim Roth,128 mins.,7.5
8494,5,Matt Reeves,Action | Drama | Sci-Fi | Thriller,Gary Oldman,Keri Russell,Andy Serkis,130 mins.,7.6
8495,6,James Kent,Biography | Drama | History | War,Alicia Vikander,Kit Harington,Taron Egerton,129 mins.,7.3
8496,8,Richard Glatzer,Drama,Wash Westmoreland,Julianne Moore,Alec Baldwin,101 mins.,7.5
8497,10,Chris Evans,Comedy | Drama | Romance,Chris Evans,Alice Eve,Emma Fitzpatrick,95 mins.,7
8498,18,Jorge R. Gutiérrez,Animation | Adventure | Comedy | Family | Fantasy | Romance,Diego Luna,Zoe Saldana,Channing Tatum,95 mins.,7.3
8499,23,Theodore Melfi,Comedy | Drama,Bill Murray,Melissa McCarthy,Naomi Watts,102 mins.,7.3
8500,24,Morgan Matthews,Drama,Asa Butterfield,Rafe Spall,Sally Hawkins,111 mins.,7.2
8501,35,Michael Cuesta,Biography | Crime | Drama | Mystery | Thriller,Jeremy Renner,Robert Patrick,Jena Sims,112 mins.,7
8502,36,Tim Burton,Biography | Crime | Drama | Romance,Amy Adams,Christoph Waltz,Danny Huston,106 mins.,7
8503,37,Dean DeBlois,Animation | Action | Adventure | Comedy | Family | Fantasy,Jay Baruchel,Cate Blanchett,Gerard Butler,102 mins.,7.9
8504,39,Jaume Collet-Serra,Action | Mystery | Thriller,Liam Neeson,Julianne Moore,Scoot McNairy,106 mins.,7
8505,42,Paul King,Comedy | Family,Hugh Bonneville,Sally Hawkins,Julie Walters,95 mins.,7.2
8506,45,Ramin Bahrani,Drama,Andrew Garfield,Michael Shannon,Laura Dern,112 mins.,7.2
8507,3,Ava DuVernay,Biography | Drama | History,David Oyelowo,Carmen Ejogo,Tim Roth,128 mins.,7.5
8508,4,Matt Reeves,Action | Drama | Sci-Fi | Thriller,Gary Oldman,Keri Russell,Andy Serkis,130 mins.,7.6
8509,5,James Kent,Biography | Drama | History | War,Alicia Vikander,Kit Harington,Taron Egerton,129 mins.,7.3
8510,7,Richard Glatzer,Drama,Wash Westmoreland,Julianne Moore,Alec Baldwin,101 mins.,7.5
8511,9,Chris Evans,Comedy | Drama | Romance,Chris Evans,Alice Eve,Emma Fitzpatrick,95 mins.,7
8512,17,Jorge R. Gutiérrez,Animation | Adventure | Comedy | Family | Fantasy | Romance,Diego Luna,Zoe Saldana,Channing Tatum,95 mins.,7.3
8513,22,Theodore Melfi,Comedy | Drama,Bill Murray,Melissa McCarthy,Naomi Watts,102 mins.,7.3
8514,23,Morgan Matthews,Drama,Asa Butterfield,Rafe Spall,Sally Hawkins,111 mins.,7.2
8515,34,Michael Cuesta,Biography | Crime | Drama | Mystery | Thriller,Jeremy Renner,Robert Patrick,Jena Sims,112 mins.,7
8516,35,Tim Burton,Biography | Crime | Drama | Romance,Amy Adams,Christoph Waltz,Danny Huston,106 mins.,7
8517,36,Dean DeBlois,Animation | Action | Adventure | Comedy | Family | Fantasy,Jay Baruchel,Cate Blanchett,Gerard Butler,102 mins.,7.9
8518,38,Jaume Collet-Serra,Action | Mystery | Thriller,Liam Neeson,Julianne Moore,Scoot McNairy,106 mins.,7
8519,41,Paul King,Comedy | Family,Hugh Bonneville,Sally Hawkins,Julie Walters,95 mins.,7.2
8520,44,Ramin Bahrani,Drama,Andrew Garfield,Michael Shannon,Laura Dern,112 mins.,7.2
8521,2,Ava DuVernay,Biography | Drama | History,David Oyelowo,Carmen Ejogo,Tim Roth,128 mins.,7.5
8522,3,Matt Reeves,Action | Drama | Sci-Fi | Thriller,Gary Oldman,Keri Russell,Andy Serkis,130 mins.,7.6
8523,4,James Kent,Biography | Drama | History | War,Alicia Vikander,Kit Harington,Taron Egerton,129 mins.,7.3
8524,6,Richard Glatzer,Drama,Wash Westmoreland,Julianne Moore,Alec Baldwin,101 mins.,7.5
8525,8,Chris Evans,Comedy | Drama | Romance,Chris Evans,Alice Eve,Emma Fitzpatrick,95 mins.,7
8526,16,Jorge R. Gutiérrez,Animation | Adventure | Comedy | Family | Fantasy | Romance,Diego Luna,Zoe Saldana,Channing Tatum,95 mins.,7.3
8527,21,Theodore Melfi,Comedy | Drama,Bill Murray,Melissa McCarthy,Naomi Watts,102 mins.,7.3
8528,22,Morgan Matthews,Drama,Asa Butterfield,Rafe Spall,Sally Hawkins,111 mins.,7.2
8529,33,Michael Cuesta,Biography | Crime | Drama | Mystery | Thriller,Jeremy Renner,Robert Patrick,Jena Sims,112 mins.,7
8530,34,Tim Burton,Biography | Crime | Drama | Romance,Amy Adams,Christoph Waltz,Danny Huston,106 mins.,7
8531,35,Dean DeBlois,Animation | Action | Adventure | Comedy | Family | Fantasy,Jay Baruchel,Cate Blanchett,Gerard Butler,102 mins.,7.9
8532,37,Jaume Collet-Serra,Action | Mystery | Thriller,Liam Neeson,Julianne Moore,Scoot McNairy,106 mins.,7
8533,40,Paul King,Comedy | Family,Hugh Bonneville,Sally Hawkins,Julie Walters,95 mins.,7.2
8534,43,Ramin Bahrani,Drama,Andrew Garfield,Michael Shannon,Laura Dern,112 mins.,7.2
8535,1,Ava DuVernay,Biography | Drama | History,David Oyelowo,Carmen Ejogo,Tim Roth,128 mins.,7.5
8536,2,Matt Reeves,Action | Drama | Sci-Fi | Thriller,Gary Oldman,Keri Russell,Andy Serkis,130 mins.,7.6
8537,3,James Kent,Biography | Drama | History | War,Alicia Vikander,Kit Harington,Taron Egerton,129 mins.,7.3
8538,5,Richard Glatzer,Drama,Wash Westmoreland,Julianne Moore,Alec Baldwin,101 mins.,7.5
8539,7,Chris Evans,Comedy | Drama | Romance,Chris Evans,Alice Eve,Emma Fitzpatrick,95 mins.,7
8540,15,Jorge R. Gutiérrez,Animation | Adventure | Comedy | Family | Fantasy | Romance,Diego Luna,Zoe Saldana,Channing Tatum,95 mins.,7.3
8541,20,Theodore Melfi,Comedy | Drama,Bill Murray,Melissa McCarthy,Naomi Watts,102 mins.,7.3
8542,21,Morgan Matthews,Drama,Asa Butterfield,Rafe Spall,Sally Hawkins,111 mins.,7.2
8543,32,Michael Cuesta,Biography | Crime | Drama | Mystery | Thriller,Jeremy Renner,Robert Patrick,Jena Sims,112 mins.,7
8544,33,Tim Burton,Biography | Crime | Drama | Romance,Amy Adams,Christoph Waltz,Danny Huston,106 mins.,7
8545,34,Dean DeBlois,Animation | Action | Adventure | Comedy | Family | Fantasy,Jay Baruchel,Cate Blanchett,Gerard Butler,102 mins.,7.9
8546,36,Jaume Collet-Serra,Action | Mystery | Thriller,Liam Neeson,Julianne Moore,Scoot McNairy,106 mins.,7
8547,39,Paul King,Comedy | Family,Hugh Bonneville,Sally Hawkins,Julie Walters,95 mins.,7.2
8548,42,Ramin Bahrani,Drama,Andrew Garfield,Michael Shannon,Laura Dern,112 mins.,7.2
8549,1,Matt Reeves,Action | Drama | Sci-Fi | Thriller,Gary Oldman,Keri Russell,Andy Serkis,130 mins.,7.6
8550,2,James Kent,Biography | Drama | History | War,Alicia Vikander,Kit Harington,Taron Egerton,129 mins.,7.3
8551,4,Richard Glatzer,Drama,Wash Westmoreland,Julianne Moore,Alec Baldwin,101 mins.,7.5
8552,6,Chris Evans,Comedy | Drama | Romance,Chris Evans,Alice Eve,Emma Fitzpatrick,95 mins.,7
8553,14,Jorge R. Gutiérrez,Animation | Adventure | Comedy | Family | Fantasy | Romance,Diego Luna,Zoe Saldana,Channing Tatum,95 mins.,7.3
8554,19,Theodore Melfi,Comedy | Drama,Bill Murray,Melissa McCarthy,Naomi Watts,102 mins.,7.3
8555,20,Morgan Matthews,Drama,Asa Butterfield,Rafe Spall,Sally Hawkins,111 mins.,7.2
8556,31,Michael Cuesta,Biography | Crime | Drama | Mystery | Thriller,Jeremy Renner,Robert Patrick,Jena Sims,112 mins.,7
8557,32,Tim Burton,Biography | Crime | Drama | Romance,Amy Adams,Christoph Waltz,Danny Huston,106 mins.,7
8558,33,Dean DeBlois,Animation | Action | Adventure | Comedy | Family | Fantasy,Jay Baruchel,Cate Blanchett,Gerard Butler,102 mins.,7.9
8559,35,Jaume Collet-Serra,Action | Mystery | Thriller,Liam Neeson,Julianne Moore,Scoot McNairy,106 mins.,7
8560,38,Paul King,Comedy | Family,Hugh Bonneville,Sally Hawkins,Julie Walters,95 mins.,7.2
8561,41,Ramin Bahrani,Drama,Andrew Garfield,Michael Shannon,Laura Dern,112 mins.,7.2
8562,1,James Kent,Biography | Drama | History | War,Alicia Vikander,Kit Harington,Taron Egerton,129 mins.,7.3
8563,3,Richard Glatzer,Drama,Wash Westmoreland,Julianne Moore,Alec Baldwin,101 mins.,7.5
8564,5,Chris Evans,Comedy | Drama | Romance,Chris Evans,Alice Eve,Emma Fitzpatrick,95 mins.,7
8565,13,Jorge R. Gutiérrez,Animation | Adventure | Comedy | Family | Fantasy | Romance,Diego Luna,Zoe Saldana,Channing Tatum,95 mins.,7.3
8566,18,Theodore Melfi,Comedy | Drama,Bill Murray,Melissa McCarthy,Naomi Watts,102 mins.,7.3
8567,19,Morgan Matthews,Drama,Asa Butterfield,Rafe Spall,Sally Hawkins,111 mins.,7.2
8568,30,Michael Cuesta,Biography | Crime | Drama | Mystery | Thriller,Jeremy Renner,Robert Patrick,Jena Sims,112 mins.,7
8569,31,Tim Burton,Biography | Crime | Drama | Romance,Amy Adams,Christoph Waltz,Danny Huston,106 mins.,7
8570,32,Dean DeBlois,Animation | Action | Adventure | Comedy | Family | Fantasy,Jay Baruchel,Cate Blanchett,Gerard Butler,102 mins.,7.9
8571,34,Jaume Collet-Serra,Action | Mystery | Thriller,Liam Neeson,Julianne Moore,Scoot McNairy,106 mins.,7
8572,37,Paul King,Comedy | Family,Hugh Bonneville,Sally Hawkins,Julie Walters,95 mins.,7.2
8573,40,Ramin Bahrani,Drama,Andrew Garfield,Michael Shannon,Laura Dern,112 mins.,7.2
8574,2,Richard Glatzer,Drama,Wash Westmoreland,Julianne Moore,Alec Baldwin,101 mins.,7.5
8575,4,Chris Evans,Comedy | Drama | Romance,Chris Evans,Alice Eve,Emma Fitzpatrick,95 mins.,7
8576,12,Jorge R. Gutiérrez,Animation | Adventure | Comedy | Family | Fantasy | Romance,Diego Luna,Zoe Saldana,Channing Tatum,95 mins.,7.3
8577,17,Theodore Melfi,Comedy | Drama,Bill Murray,Melissa McCarthy,Naomi Watts,102 mins.,7.3
8578,18,Morgan Matthews,Drama,Asa Butterfield,Rafe Spall,Sally Hawkins,111 mins.,7.2
8579,29,Michael Cuesta,Biography | Crime | Drama | Mystery | Thriller,Jeremy Renner,Robert Patrick,Jena Sims,112 mins.,7
8580,30,Tim Burton,Biography | Crime | Drama | Romance,Amy Adams,Christoph Waltz,Danny Huston,106 mins.,7
8581,31,Dean DeBlois,Animation | Action | Adventure | Comedy | Family | Fantasy,Jay Baruchel,Cate Blanchett,Gerard Butler,102 mins.,7.9
8582,33,Jaume Collet-Serra,Action | Mystery | Thriller,Liam Neeson,Julianne Moore,Scoot McNairy,106 mins.,7
8583,36,Paul King,Comedy | Family,Hugh Bonneville,Sally Hawkins,Julie Walters,95 mins.,7.2
8584,39,Ramin Bahrani,Drama,Andrew Garfield,Michael Shannon,Laura Dern,112 mins.,7.2
8585,1,Richard Glatzer,Drama,Wash Westmoreland,Julianne Moore,Alec Baldwin,101 mins.,7.5
8586,3,Chris Evans,Comedy | Drama | Romance,Chris Evans,Alice Eve,Emma Fitzpatrick,95 mins.,7
8587,11,Jorge R. Gutiérrez,Animation | Adventure | Comedy | Family | Fantasy | Romance,Diego Luna,Zoe Saldana,Channing Tatum,95 mins.,7.3
8588,16,Theodore Melfi,Comedy | Drama,Bill Murray,Melissa McCarthy,Naomi Watts,102 mins.,7.3
8589,17,Morgan Matthews,Drama,Asa Butterfield,Rafe Spall,Sally Hawkins,111 mins.,7.2
8590,28,Michael Cuesta,Biography | Crime | Drama | Mystery | Thriller,Jeremy Renner,Robert Patrick,Jena Sims,112 mins.,7
8591,29,Tim Burton,Biography | Crime | Drama | Romance,Amy Adams,Christoph Waltz,Danny Huston,106 mins.,7
8592,30,Dean DeBlois,Animation | Action | Adventure | Comedy | Family | Fantasy,Jay Baruchel,Cate Blanchett,Gerard Butler,102 mins.,7.9
8593,32,Jaume Collet-Serra,Action | Mystery | Thriller,Liam Neeson,Julianne Moore,Scoot McNairy,106 mins.,7
8594,35,Paul King,Comedy | Family,Hugh Bonneville,Sally Hawkins,Julie Walters,95 mins.,7.2
8595,38,Ramin Bahrani,Drama,Andrew Garfield,Michael Shannon,Laura Dern,112 mins.,7.2
8596,2,Chris Evans,Comedy | Drama | Romance,Chris Evans,Alice Eve,Emma Fitzpatrick,95 mins.,7
8597,10,Jorge R. Gutiérrez,Animation | Adventure | Comedy | Family | Fantasy | Romance,Diego Luna,Zoe Saldana,Channing Tatum,95 mins.,7.3
8598,15,Theodore Melfi,Comedy | Drama,Bill Murray,Melissa McCarthy,Naomi Watts,102 mins.,7.3
8599,16,Morgan Matthews,Drama,Asa Butterfield,Rafe Spall,Sally Hawkins,111 mins.,7.2
8600,27,Michael Cuesta,Biography | Crime | Drama | Mystery | Thriller,Jeremy Renner,Robert Patrick,Jena Sims,112 mins.,7
8601,28,Tim Burton,Biography | Crime | Drama | Romance,Amy Adams,Christoph Waltz,Danny Huston,106 mins.,7
8602,29,Dean DeBlois,Animation | Action | Adventure | Comedy | Family | Fantasy,Jay Baruchel,Cate Blanchett,Gerard Butler,102 mins.,7.9
8603,31,Jaume Collet-Serra,Action | Mystery | Thriller,Liam Neeson,Julianne Moore,Scoot McNairy,106 mins.,7
8604,34,Paul King,Comedy | Family,Hugh Bonneville,Sally Hawkins,Julie Walters,95 mins.,7.2
8605,37,Ramin Bahrani,Drama,Andrew Garfield,Michael Shannon,Laura Dern,112 mins.,7.2
8606,50,Lasse Hallström,Comedy | Drama,Helen Mirren,Om Puri,Manish Dayal,122 mins.,7.3
8607,1,Chris Evans,Comedy | Drama | Romance,Chris Evans,Alice Eve,Emma Fitzpatrick,95 mins.,7
8608,9,Jorge R. Gutiérrez,Animation | Adventure | Comedy | Family | Fantasy | Romance,Diego Luna,Zoe Saldana,Channing Tatum,95 mins.,7.3
8609,14,Theodore Melfi,Comedy | Drama,Bill Murray,Melissa McCarthy,Naomi Watts,102 mins.,7.3
8610,15,Morgan Matthews,Drama,Asa Butterfield,Rafe Spall,Sally Hawkins,111 mins.,7.2
8611,26,Michael Cuesta,Biography | Crime | Drama | Mystery | Thriller,Jeremy Renner,Robert Patrick,Jena Sims,112 mins.,7
8612,27,Tim Burton,Biography | Crime | Drama | Romance,Amy Adams,Christoph Waltz,Danny Huston,106 mins.,7
8613,28,Dean DeBlois,Animation | Action | Adventure | Comedy | Family | Fantasy,Jay Baruchel,Cate Blanchett,Gerard Butler,102 mins.,7.9
8614,30,Jaume Collet-Serra,Action | Mystery | Thriller,Liam Neeson,Julianne Moore,Scoot McNairy,106 mins.,7
8615,33,Paul King,Comedy | Family,Hugh Bonneville,Sally Hawkins,Julie Walters,95 mins.,7.2
8616,36,Ramin Bahrani,Drama,Andrew Garfield,Michael Shannon,Laura Dern,112 mins.,7.2
8617,49,Lasse Hallström,Comedy | Drama,Helen Mirren,Om Puri,Manish Dayal,122 mins.,7.3
8618,8,Jorge R. Gutiérrez,Animation | Adventure | Comedy | Family | Fantasy | Romance,Diego Luna,Zoe Saldana,Channing Tatum,95 mins.,7.3
8619,13,Theodore Melfi,Comedy | Drama,Bill Murray,Melissa McCarthy,Naomi Watts,102 mins.,7.3
8620,14,Morgan Matthews,Drama,Asa Butterfield,Rafe Spall,Sally Hawkins,111 mins.,7.2
8621,25,Michael Cuesta,Biography | Crime | Drama | Mystery | Thriller,Jeremy Renner,Robert Patrick,Jena Sims,112 mins.,7
8622,26,Tim Burton,Biography | Crime | Drama | Romance,Amy Adams,Christoph Waltz,Danny Huston,106 mins.,7
8623,27,Dean DeBlois,Animation | Action | Adventure | Comedy | Family | Fantasy,Jay Baruchel,Cate Blanchett,Gerard Butler,102 mins.,7.9
8624,29,Jaume Collet-Serra,Action | Mystery | Thriller,Liam Neeson,Julianne Moore,Scoot McNairy,106 mins.,7
